Session name, Instructors, Groups
Fundamentals of Software Engineering {lec}, Evgeniy Bobrov, B19-01/B19-02/B19-03/B19-04/B19-05/B19-06
Fundamentals of Software Engineering {lab1}, Pavel Kolychev, B19-01
Fundamentals of Software Engineering {lab2}, Pavel Kolychev, B19-02
Fundamentals of Software Engineering {lab3}, Nursultan Askarbekuly, B19-03
Fundamentals of Software Engineering {lab4}, Nursultan Askarbekuly, B19-04
Fundamentals of Software Engineering {lab5}, Oleg Ignatov, B19-05
Fundamentals of Software Engineering {lab6}, Oleg Ignatov, B19-06
Operating Systems {lec}, Giancarlo Succi, B19-01/B19-02/B19-03/B19-04/B19-05/B19-06
Operating Systems {tut}, Nikita Lozhnikov, B19-01/B19-02/B19-03/B19-04/B19-05/B19-06
Operating Systems {lab1}, Nikita Lozhnikov, B19-01
Operating Systems {lab2}, Nikita Lozhnikov, B19-02
Operating Systems {lab3}, Xavier Vasquez, B19-03
Operating Systems {lab4}, Xavier Vasquez, B19-04
Operating Systems {lab5}, Shokhista Ergasheva, B19-05
Operating Systems {lab6}, Shokhista Ergasheva, B19-06
Physics 1 - Mechanics {lec}, Igor Gaponov, B19-01/B19-02/B19-03/B19-04/B19-05/B19-06
Physics 1 - Mechanics {tut}, Semen Kurkin, B19-01/B19-02/B19-03/B19-04/B19-05/B19-06
Physics 1 - Mechanics {lab1}, Mikhail Ivanov, B19-01
Physics 1 - Mechanics {lab2}, Mikhail Ivanov, B19-02
Physics 1 - Mechanics {lab3}, Victor Nikiforov, B19-03
Physics 1 - Mechanics {lab4}, Victor Nikiforov, B19-04
Physics 1 - Mechanics {lab5}, Marat Mingazov, B19-05
Physics 1 - Mechanics {lab6}, Marat Mingazov, B19-06
Probability and Statistics {lec}, Sergey Gorodetskiy, B19-01/B19-02/B19-03/B19-04/B19-05/B19-06
Probability and Statistics {tut}, Sergey Gorodetskiy, B19-01/B19-02/B19-03/B19-04/B19-05/B19-06
Probability and Statistics {lab1}, Sergey Gorodetskiy, B19-01
Probability and Statistics {lab2}, Alexey Shikulin, B19-02
Probability and Statistics {lab3}, Alexey Shikulin, B19-03
Probability and Statistics {lab4}, Alexey Shikulin, B19-04
Probability and Statistics {lab5}, Alexey Shikulin, B19-05
Probability and Statistics {lab6}, Gainutdinov Azat, B19-06
Differential Equations {lec}, Nikolay Shilov, B19-01/B19-02/B19-03/B19-04/B19-05/B19-06
Differential Equations {tut}, Ivan Konyukhov, B19-01/B19-02/B19-03/B19-04/B19-05/B19-06
Differential Equations {lab1}, Marat Mingazov, B19-01
Differential Equations {lab2}, Marat Mingazov, B19-02
Differential Equations {lab3}, Viktor Kazorin, B19-03
Differential Equations {lab4}, Viktor Kazorin, B19-04
Differential Equations {lab5}, Marat Mingazov, B19-05
Differential Equations {lab6}, Marat Mingazov, B19-06
